verb,frequency,frame_hdbscan,frame_label,frame_ward_25,gloss,top_subjects,top_objects
ἐπαμύνω,11,-1,(unassigned),2,"come to aid, succour; apologetic; to prove; ward off",,Ἀλκάθοος(1); Δαναοί(1); ἑταῖρος(1); Πάτροκλος(1)
ἀποδίδωμι,11,-1,(unassigned),23,"give up; back, restore, return; render what is due, pay; give",πατήρ(1),τοκεύς(2); θρέπτρα(2); χαλκός(1); χρυσός(1)
ζώννυμι,11,-1,(unassigned),22,gird; gird round the loins; hug; gird oneself,Ὀδυσσεύς(1); γεραιός(1); Ἀργεῖος(1),ζώνη(1); χαλκός(1); μίτρα(1)
ἀντάω,11,-1,(unassigned),14,"come opposite to, meet face to face, meet with; meet; she reached, went up to; meet with, take part in, partake in",Ἕκτωρ(1),ὀπωπή(3); δαίτη(1); ἀνήρ(1)
ἐπόρνυμι,11,-1,(unassigned),20,"stir up, arouse, excite; called up; rouse and send against; sent",θεός(1); Ποσειδεών(1); Ζεύς(1); Ἀθήνη(1),ἄνεμος(2); μένος(2); γόνυ(2)
κεάζω,11,22,"succour, face, hide cover, assembly",20,"split, cleave; shiver; was cloven; pound, rub to pieces",Ζεύς(2),ξύλον(3); ναῦς(2); ὀστέον(1)
ἀμφιέπω,11,-1,(unassigned),8,"go about, be all round; crowns; beset, press hard; to be busy about, look after",πῦρ(3),γάστρα(2); πρυμνός(1); τάφος(1)
στείχω,11,-1,(unassigned),5,"walk, march, go; come; towards; go to, approach",ἀρνειός(1); παῖς(1); κοῦρος(1),
ἀλέγω,11,8,"like, guardian, conceal, heed",1,"have a care, mind, heed; have; care; with good heed",,παῖς(1); ὅπλον(1); πεῖσμα(1); σπεῖρον(1); ἀλλήλων(1)
λοχάω,11,27,"speak, address, hear, exchange",21,"lie in wait for, waylay; lie in wait, ambush; in ambush; occupy with an ambuscade",νέος(1); μνηστήρ(1); ἀριστεύς(1),Τηλέμαχος(1)
ἐφοπλίζω,11,-1,(unassigned),18,"get ready; we will get ready our; fit out, equip, make ready; arm against",δμώς(1); Ἀχαιός(1),ἄμαξα(2); ἀπήνη(2); δόρπον(2); δεῖπνος(1); δεῖπνον(1)
πειρητίζω,11,9,"reproach, fear, awe, sense",2,"attempt, try, prove; touched the strings; make trial of; attempt",,συβώτης(2); τόξον(2); ἕκαστος(1); σθένος(1)
ἐμπάζομαι,11,-1,(unassigned),1,"busy oneself about, take heed of, care for",,μῦθος(5); ἱκέτης(2); θεοπροπία(2); ξένος(1); κῆρυξ(1)
κωκύω,11,-1,(unassigned),21,"shriek, wail; lament; shriek over; káuti",τροφός(1); Εὐρύκλεια(1); ἄλοχος(1); Πηνελόπεια(1); Τρώϊος(1),πόσις1(1)
κυκάω,11,20,"sprinkle, roast, broil, let flow",12,stir; mix; mix for oneself; stir up,γυνή(1); Τρώς(1); ἐπίκουρος(1); ἵππος(1),τυρός(1); ἄλφιτον(1); μέλι(1)
ἐπιχέω,11,-1,(unassigned),22,pour over; pour; over; heap up,ἀμφίπολος(6); Δαναοί(1),χέρνιψ(6); ὕλη(1); χύσις(1); ὕδωρ(1)
ἐρωέω,11,12,"sweat, born, stir, rouse",19,"rush, rush forth; started back; escape harm; draw back",αἷμα(2); πᾶς(1),πόλεμος(3); χάρμη(1)
μεταστρέφω,11,-1,(unassigned),9,"turn about, turn round; turn oneself about, turn about; turn round; turn about",Ἀχιλλεύς(1); Ποσειδεών(1),ἦτορ(1); νόος(1)
ἀμφιβαίνω,10,35,"attain, come, reach, sink",12,go about; around; in his course had reached; bestride,ἥλιος(3); νεφέλη(1); ἄχος(1); νέφος(1),οὐρανός(3); φρήν(2); Χρύση(2); Κίλλα(2)
σκίδνημι,10,2,"roar, old, haste, shout",7,"disperse; to be spread; scattered, disperse; began to spread his light",λαός(2); ἄχνη(1); ἄελλα(1),
ὑπερέχω,10,-1,(unassigned),9,hold over; held; over; holding,Κρονίων(2); Ζεύς(2); ἀστήρ(1); ἥλιος(1),χείρ(6); γαῖα(1); ὦμος(1)
καταπαύω,10,18,"owe, crying, ply, dead",23,"put an end to, stop; bring to a close; conclude; and proceed",παῖς(1); ἔγχος(1),μνηστήρ(1); ἀφροσύνη(1); χόλος(1); μηνιθμός(1)
ἐλύω,10,-1,(unassigned),9,"roll round; rolled; rolled up, crouching; coiled",ῥυμός(1),γόνυ(4); πεῖσμα(1); πρυμνήσιος(1)
ἀρκέω,10,-1,(unassigned),8,"ward off, keep off; would; keep off; defend",θώραξ(3); Ἀθήνη(1),ὄλεθρος(5)
ἀπαγγέλλω,10,-1,(unassigned),1,"bring tidings, report; bring back tidings, report in answer; he was reported; was reported",,γέρων(2); νόημα(1); Πηλείδης(1); μῦθος(1)
ἀμφινέμομαι,10,8,"like, guardian, conceal, heed",1,dwell round; encompasses,,Ἰθάκη(1); Ὄλυμπος(1); Ἀνεμώρεια(1); Ὑάμπολις(1); Αἴγιον(1)
στέλλω,10,17,"slaying, rejoice, eat, flee",14,make ready; rig; fit; out,Ἀχαιός(1),ναῦς(3); ἱστίον(3); ἑταῖρος(1); ἀγγελία(1)
ἐξάρχω,10,-1,(unassigned),22,"begin, take the lead in, initiate; teach; dictate; hold office",Ἑκάβη(2); Εὐρύλοχος(1); Θέτις(1); Πηλεύς(1); Πηλείδης(1),γόος(6); βουλή(3); ἑταῖρος(1); μολπή(1); Τρώϊος(1)
φείδομαι,10,-1,(unassigned),21,"spare; not destroy; spare, be merciful; use sparingly",γέρων(1),ἀνήρ(2); λαός(1); ἑταῖρος(1)
γηράσκω,10,2,"roar, old, haste, shout",5,grow old; to be so; grew old; bring to old age,φῦλον(1); ὄγχνη(1); υἱός(1),
καθαίρω,10,7,"wash, fenced, arrow, count",3,"cleanse; clear; purify, refine; purge, clear",,θρόνος(2); τράπεζα(2); πρόσωπον(1); δέπας(1); κρατήρ(1)
τολμάω,10,3,"moan, melt, hope, bade",25,"Bodl. Quarterly Record; undertake, take heart; to do; bear",θυμός(2); ἵππος(1),ἕκαστος(1); ἔπος(1); πόλεμος(1)
αἰτίζω,10,-1,(unassigned),15,"ask, beg; ask; beg of; beg",ἀνήρ(1),μνηστήρ(2); ἀνήρ(2); ἄκολος(1); σῖτος(1)
εἰλύω,10,38,"stream, defile, stain, fall",9,"enfold, enwrap; to be wrapped, covered; crawl, wriggle along; rolled up, crouching",κεφαλή(1); πρόσωπον(1); γόνυ(1); πᾶς(1),ὦμος(2); νύξ(1); κονία(1); βοείη(1)
αἰνέω,10,5,"leap, sal, assemble, went",7,"tell, speak of; reports of; praise, approve; glorify",ἑταῖρος(2); Ἀχαιός(2); θέμις(1); βασιλεύς(1),
ἀλείφω,10,-1,(unassigned),4,anoint the skin with oil; anointing for gymnastic exercises; anointing; supply oil,,ἑταῖρος(1); χρώς(1)
κεδάννυμι,10,-1,(unassigned),19,"break up, scatter; was broken up; was shed",θεός(2); ὑσμίνη(2); υἱός(1); Αἴας(1),Ἀχαιός(2); κύων(1); αἰζηός(1); φάλαγξ(1); γέφυρα(1)
διατμήγω,10,42,"pass, cut twain, rend, right",9,cut in twain; having cut; in twain; distinguish,σανίς(1),τυτθός(1); λαῖτμα(1)
χανδάνω,10,40,"contain, hold, seize, catch",12,"take in, hold, contain; could; contain; could hold",στῆθος(2); χείρ(1); οὐδός(1); κεφαλή(1),μέτρον(2); χόλος(2); ἀμφότερος(1); πολύς(1)
ἀπεχθάνομαι,10,11,"pray, incur, need, born",22,"to be hated, incur hatred; to be or become hateful to; incur; hate",Ἴλιος(1); Πρίαμος(1); λαός(1); Ἀτρείδης(1),θεός(2); Ζεύς(1)
τέλλω,10,23,"look gaze, courage, share, persuade",15,accomplish; perform; come into being; turns,πᾶς(1),μῦθος(5); λόχος(1); κακός(1)
διέρχομαι,10,42,"pass, cut twain, rend, right",9,"go through, pass through; pass through, complete; went abroad, spread; shoot through",ἀκωκή(1); ἵππος(1); ἔγχος(1); βέλος(1),μέγαρον(1); θάλασσα(1); κλισία(1); ναῦς(1); χρώς(1)
εἰσβαίνω,10,-1,(unassigned),16,go on board; embark; enter; come into,ἵππος(1),
ὑπείκω,10,19,"return, sleep, assemble collect, company",23,"retire, withdraw, depart; from; retire from; for",πατήρ(1); Ὀδυσσεύς(1),θεός(1); ἕδρα(1); ἔργον(1)
εἰσαφικνέομαι,10,-1,(unassigned),15,"come into; to, arrive at; go into; arrive",ἀνήρ(1),συβώτης(2); σπέος(1); δόμος(1); Ἴλιος(1)
προφέρω,10,24,"shut close, beckon, opened, sing",9,bring before; present; cast; teeth,ὄρνις(1),ἔρις(3); ξεινοδόκος(1); μένος(1); νέκυς(1)
ἀρνέομαι,10,-1,(unassigned),4,"deny, disown; negative; refuse; decline, renounce",,γάμος(2); ἔπος(2)
καταδέω,10,-1,(unassigned),17,"bind on; to, bind fast; bind to oneself; tie up for oneself",,κέλευθος(3); ἵππος(1); ἡμίονος(1)
ἀρέσκω,10,-1,(unassigned),22,"make good, make amends; make full; appease, conciliate; sated their",Εὐρύαλος(1),ὅσος(1); ξένος(1)
ἐχθαίρω,10,26,"fulfil, spin, perform, accomplish",20,"hate, detest; bear; hatred; to be hateful",Ζεύς(2); λαός(2); Κρονίων(1),γόνος(1); στρατός(1); Μενοιτιάδης(1)
πωλέομαι,10,-1,(unassigned),7,go up and down; to and fro; come frequently; she goes,γέρων(1); Πρωτεύς(1); ὑποδμώς(1),
στυγέω,10,22,"succour, face, hide cover, assembly",20,"hate, abhor; to show hatred; hate; fear",θεός(1),μένος(1); χείρ(1)
εἴβω,10,-1,(unassigned),12,"drop, let fall in drops; trickle down",βασίλεια(1); Ὀδυσσεύς(1),δάκρυον(10)
ἐξερεείνω,10,-1,(unassigned),21,inquire into; inquire after; inquire of; make inquiry,Νέστωρ(1); Ἀγαμέμνων(1),ἕκαστος(4); Ἴλιος(1); ναῦς(1); νόστος(1); πόρος(1)
ἀσκέω,10,33,"work, strait, pour, stand",9,"work; work curiously, form by art; smoothed; elaborately",ἅρμα(1); Δαίδαλος(1); Σιδόνες(1),ἑρμίς(1); χρυσός(1); ἄργυρος(1); οἷος(1)
νοσφίζομαι,10,10,"admit, riot, send away, dismiss",3,,,δῶμα(3); ὄρος(1); πατήρ(1); παῖς(1); θάλαμος(1)
διαρραίω,10,-1,(unassigned),3,"dash in pieces, destroy; to be destroyed, perish",,ναῦς(1); οἶκος(1); ἄστυ(1); στρατός(1)
ἐφάπτω,10,12,"sweat, born, stir, rouse",9,bind on; having fixed; by making fast; had made fast,πεῖραρ(4); κῆδος(4); ἔρις(1); νεῖκος(1),Τρώς(4); ἤπειρος(1); ἀθάνατος(1)
ἀραβέω,10,1,"ring, rattle, tears, gnash",5,"rattle, ring; gnash; gnash, grind",τεῦχος(10),
γουνόομαι,10,8,"like, guardian, conceal, heed",3,,,κάρηνον(2); βοῦς(2); πυρή(1); ἐσθλός(1)
ὑποτίθημι,10,0,"breathe, witch spell, set hurry, throw overthrow",13,place under; puts; under; putting,δαίμων(1),βουλή(2); Ἀργεῖος(2)
θάπτω,9,-1,(unassigned),16,honour with funeral rites; to carry out to burial; burial expenses,Ἀχαιός(1); Ἐπειός(1); θεός(1),ἑταῖρος(1); Ἀμαρυγκεύς(1)
ἐπιέννυμι,9,-1,(unassigned),19,put on besides; over; threw; clad in,υἱός(1),ἀλκή(5); ἀναίδεια(2); ναῦς(1); γόνυ(1)
περιχέω,9,32,"stretch, spread scatter, send, honour",23,"pour, spread; scatter round; over; having spread",ἀνήρ(2); Ἀθήνη(1),χρυσός(5); κέρας(4); χάρις(1); κεφαλή(1)
ἐργάζομαι,9,-1,(unassigned),1,"work, labour; working; works; goes on",,ἔργον(3); ἐναίσιμος(1); φῖλος(1)
σκεδάννυμι,9,32,"stretch, spread scatter, send, honour",23,"scatter, disperse; shed; all round; will shiver",θεά(1); θεός(1); Ἄρης(1),ἀήρ(2); λαός(2); Ἀχαιός(1); κῆδος(1); ἀχλύς(1)
ἐκφαίνω,9,-1,(unassigned),12,"bring to light, reveal; produce; showed himself, came forth to view; came up from out",Ἀχιλλεύς(3); δόρυ(1); ἀνήρ(1),Χάρυβδις(1); ἀνήρ(1); φάος(1)
τρέχω,9,-1,(unassigned),16,run; run and; move quickly; trippingly,ἵππος(1),ἀλλήλων(1)
μινύθω,9,-1,(unassigned),20,,ἦτορ(2); ῥινός(1); μνηστήρ(1); ἔργον(1); οἶκος(1),μένος(1)
ἔργνυμι,9,-1,(unassigned),4,,ἑταῖρος(1); ἔθνος(1); ἕκαστος(1); φρήν(1),χρώς(1)
ὀπαδέω,9,-1,(unassigned),22,,τιμή(1); κῦδος(1),ἱκέτης(2)
προσβαίνω,9,31,"heavy, aim, disembark, cheat",23,"put oneʼs foot against; approach; mount, ascend; climb up",Ἥρα(1); θεά(1),ἀτραπός(1); ὄρος(1); κλῖμαξ(1); οὐδός(1); Γάργαρον(1)
τέτμον,9,-1,(unassigned),21,"overtake, reach, find; partake of, have allotted one",γῆρας(1); Ἀτρείδης(1); Μενέλαος(1),μήτηρ(1); Αἴγισθος(1); Ὀδυσσεύς(1)
κομέω,9,-1,(unassigned),18,"take care of, tend",θεράπων(2); ἄναξ(1); γυνή(1); Σθένελος(1),γέρων(2); ἵππος(1)
κατακλάω,9,-1,(unassigned),6,"break short, snap off; bowed; down; ogle",ἦτορ(7); ἔγχος(1),
σύνειμι2,9,5,"leap, sal, assemble, went",7,"ibo; come together, assemble; meet in battle; engage in war",ἀνήρ(1); Αἰνείας(1); Ἀχιλλεύς(1); υἱός(1),
τρομέω,9,36,"bind, luo, turn flight, loosen",8,"tremble, quake, quiver; fear; quiver; tremble before",φρήν(1); γυῖον(1); ναύτης(1),θάνατος(1); ὄπις(1)
ἀναφαίνω,9,-1,(unassigned),9,"cause to give light, make to blaze up; bring to light, produce; show forth, make known, display; send forth a loud",ὄλεθρος(2); ἄρουρα(1); δμωή(1); ἀστήρ(1),ἐπεσβολία(1); Ὀδυσσεύς(1); Δαναοί(1); θεοπροπία(1)
πτώσσω,9,16,"fight, retire, shrink, flee",14,"shrink from, shrink; flee; skulk, slink; flee cowering",Τρώς(1),νέφος(1); ἀλλήλων(1)
συνάγω,9,16,"fight, retire, shrink, flee",14,"bring together, gather together; crowd; bring together; hold a club dinner",Τρώς(2); Δαναοί(2); κῆρυξ(1),ἔρις(2); ὑσμίνη(2); Ἄρης(2); νεφέλη(1); ὅρκιον(1)
δήω,9,8,"like, guardian, conceal, heed",1,"find, meet with",,τέκμωρ(2); πῆμα(1); ἀνήρ(1); ἕδρα(1)
ἀκέομαι,9,-1,(unassigned),18,"heal, cure; stanch, quench; mend, repair; mending",Παιήων(1); Παιάν(1),ἕλκος(2); ναῦς(1); δίψα(1)
ἐκχέω,9,33,"work, strait, pour, stand",11,"pour out; is spilt, Ev. Matt; poured forth his; pour away",ὕδωρ(1); πρότερος(1); πολύς(1),ὀιστός(2); οἶνος(1); δέπας(1)
ὀδύσσομαι,9,32,"stretch, spread scatter, send, honour",21,"to be wroth against, hate; hated",Ζεύς(2); ἥλιος(1); Ποσειδεών(1); Ἐννοσίγαιος(1),πολύς(1); ἀνήρ(1); γυνή(1)
ἐπελαύνω,9,28,"straight, wash hands, thrust away, bear",9,drive upon; upon; drive to; lay,ἄνεμος(2); ὕδωρ(2); χαλκός(2); δαίμων(1),θάλασσα(1); στῆθος(1); σταθμός(1)
ἐρεθίζω,9,31,"heavy, aim, disembark, cheat",23,"rouse to anger, rouse to fight; challenge to; provoke to curiosity; excite, chafe",μνηστήρ(1); Ἀθήνη(1); Ἥρα(1),ἀνήρ(2); δμωή(1); μήτηρ(1); Τηλέμαχος(1)
ἐκβαίνω,9,23,"look gaze, courage, share, persuade",15,"step out of; off from; disembark, dismount; debouch from",πᾶς(1),πέτρα(1)
ὄσσομαι,9,4,"amazed, astonished, look, whirl swing",25,"oqṷ-yo; see, look; Fr.anon; see in spirit",θυμός(2),κακός(3); πατήρ(1); ὄλεθρος(1); Ὀδυσσεύς(1); κέλευθος(1)
νηέω,9,7,"wash, fenced, arrow, count",3,"heap, pile up; heaped; piled; pile, load",,ναῦς(3); ὕλη(2); χρυσός(2); πῦρ(1); ξύλον(1)
ῥαίω,9,-1,(unassigned),23,"break, shiver, shatter; wreck; cause; to suffer shipwreck",ναῦς(2); Ποσειδεών(1); Ἐννοσίγαιος(1); ἐγκέφαλος(1),ναῦς(2)
ἐφευρίσκω,9,-1,(unassigned),3,"find; discover, find anywhere; discovered; discover besides",,ἠιών(2); λιμήν(2); πᾶς(1)
ῥώομαι,9,1,"ring, rattle, tears, gnash",5,"move with speed; violence, rush on; ran; dance",κνήμη(2); γόνυ(1); ἥρως(1); πεζός(1); ἱππεύς(1),
ὑπομένω,9,37,"strike, strip, wound, smite",12,"stay behind; remain alive; to be left behind, remain; to be permanent",Εὐρύλοχος(1); Ἀργεῖος(1),ἐρωή(1); Πάτροκλος(1); Αἴας(1)
κεράννυμι,9,21,"mix, drink, cup, rule",11,"mix, mingle; let us mix a cup of wine; give to drink; mix their",γέρων(2); Μούλιος(1); κῆρυξ(1); χεῖλος(1); ἄριστος(1),κρατήρ(5); χρυσός(1); νέκταρ(1); οἶνος(1)
ἀποτρέπω,9,31,"heavy, aim, disembark, cheat",23,turn away from; deter; dissuade from; Supp,Ἕκτωρ(1); Ἀθήνη(1),λαός(1); πόλεμος(1); πᾶς(1)
προφαίνω,9,-1,(unassigned),20,"bring to light, show forth, manifest; let; be seen; display",θεός(1); σελήνη(1); ἅπας(1),τέρας(1)
φθονέω,9,-1,(unassigned),3,"bear ill-will; malice, grudge, be envious; jealous; envy",,ἀλλότριος(1); ἡμίονος(1)
πλήθω,9,20,"sprinkle, roast, broil, let flow",11,to be full; having; full of; swollen with,ποταμός(2); τράπεζα(1); ῥεῖθρον(1); πᾶς(1),σῖτος(1); κρέας(1); νέκυς(1); ὕδωρ(1)
ἀράσσω,9,38,"stream, defile, stain, fall",8,"smite, dash in pieces; rattling, clanging; knock at; open with a crash",ὀστέον(1),ὀστέον(4); ἱστός(1); κεφαλή(1)
κλείω,9,24,"shut close, beckon, opened, sing",4,"shut, close, bar; barred; shot; shut up, close, block up",ἀοιδός(1),θύρα(6); ὀχεύς(1)
ἀνέρχομαι,9,1,"ring, rattle, tears, gnash",5,go up; mount the tribune; go up from; come up from,δόρυ(1),
βραχεῖν,9,1,"ring, rattle, tears, gnash",5,"rattle, clash, ring; roar; creak; shriek",τεῦχος(4); ῥεῖθρον(1); χθών(1); ἄξων(1),
νεμεσίζομαι,9,-1,(unassigned),25,feel righteous indignation; to be angry; amazed; stand in awe of,θυμός(1); ἅπας(1),θεός(1); δῆμος(1); μνηστήρ(1); Ἄρης(1)
ἐφανδάνω,9,11,"pray, incur, need, born",22,"please, be grateful to",μῦθος(7),θεός(1)
πάσσω,9,20,"sprinkle, roast, broil, let flow",11,sprinkle; laying; upon; sprinkle some,σπλάγχνον(1),φάρμακον(6); θρόνον(1); ἅλς2(1)
προέχω,9,15,"eat, devour, kindle, chase",8,hold before; hold before oneself; hold out before one; held,ἀκτή(2),ταῦρος(1)
ἐπιπλέω,9,-1,(unassigned),24,"sail upon; over; sail against, attack by sea; sail on",μνηστήρ(1),πόντος(4); κέλευθος(3); ὕδωρ(2); ὁδός(1)
προβλώσκω,9,-1,(unassigned),5,"come forth, go out of the house",δμωή(1),
ἰσχανάω,9,-1,(unassigned),16,"hold back, stay; hold back, wait; to be stayed; cling to",Ἀργεῖος(1); γέφυρα(1),φιλότης(1); δρόμος(1)
ἱλάσκομαι,9,11,"pray, incur, need, born",22,,κοῦρος(2); Τρώϊος(2),θεός(4); Ἀθήνη(1); Ἑκάεργος(1); ἄναξ(1)
στιχάομαι,9,2,"roar, old, haste, shout",7,march in rows; ranks; marching; stand in rows,ναῦς(4); νομεύς(1); ἔθνος(1),
ἐπιφράζω,9,17,"slaying, rejoice, eat, flee",14,"say besides; think of; take into oneʼs head to; devise, contrive",Ἀχαιός(1),βουλή(2); ὄλεθρος(1)
φρίσσω,8,37,"strike, strip, wound, smite",9,"to be rough; uneven on the surface, bristle; bristle up, stand on end; having set up his bristly",μάχη(1); ἄρουρα(1); πᾶς(1),λοφιά(1); ἐγχείη(1); νῶτον(1)
εὐφραίνω,8,10,"admit, riot, send away, dismiss",1,"cheer, gladden; make merry, enjoy oneself; was rejoiced at; enjoy a pleasure",,ἄλοχος(2); γυνή(1); τέκνον(1); νόημα(1); τοκεύς(1)
κερτομέω,8,-1,(unassigned),1,"taunt, sneer at; sneer",,Ὀδυσσεύς(1); ἔπος(1)
ἐριδαίνω,8,-1,(unassigned),9,"wrangle, quarrel; strive; compete in",Εὖρος(1); Νότος(1),ἀλλήλων(1)
χάσκω,8,-1,(unassigned),12,"yawn, gape; may; yawn; opening the mouth wide",γαῖα(2); χθών(2),
περιδείδω,8,17,"slaying, rejoice, eat, flee",14,,Ἀχαιός(1),Δαναοί(1); θεός(1); Ἀχιλλεύς(1); Αἴας(1)
μυκάομαι,8,-1,(unassigned),5,"low, bellow; rang; bellowed",πύλη(3); κρέας(1); σάκος(1),
ἀφικάνω,8,8,"like, guardian, conceal, heed",3,arrive at,,Τηλέπυλος(1); ῥοή(1)
διαπράσσω,8,-1,(unassigned),17,pass over; made their way over; may finish; went through,,κέλευθος(3); πεδίον(2); ἦμαρ(1)
ἀεικίζω,8,14,"arm, stay, strip, angry",22,"treat unseemly, injure; I will do; dishonour",ξένος(1); Μυρμιδόνες(1),νεκρός(2); Ἕκτωρ(1); γαῖα(1)
κάτειμι,8,-1,(unassigned),12,"ibo; go, come down; go down; sail down",ποταμός(1),πεδίον(1); Ἀίδης(1)
ἐμβαίνω,8,30,"drive, sway, run, bring brought",17,"step in; go on, go quickly; advance!; embark",Ἐπειός(1); ἐρέτης(1),ναῦς(1); ἵππος(1); ἅρμα(1)
ψεύδω,8,-1,(unassigned),1,"cheat by lies, beguile; to be cheated, deceived; I am; deceived",,ὅρκιον(1)
ἱμάσσω,8,30,"drive, sway, run, bring brought",17,flog; smote; smites; with lightnings,ἡνίοχος(1); Ἰδομενεύς(1); Ἀντίλοχος(1),ἵππος(4); ἡμίονος(1); γαῖα(1)
ἐρεύγομαι,8,-1,(unassigned),5,"belch out, disgorge; belch; discharge itself; blurt out",ἅλς1(1); ταῦρος(1),φόνος(1)
ἀμφιμάχομαι,8,16,"fight, retire, shrink, flee",14,"fight round; assail, besiege; fight for",Ἀχαιός(1); Τρώς(1); δάιος2(1),Σαρπηδών(2); τεῖχος(1); στρατός(1); νέκυς(1)
ἐφίζω,8,-1,(unassigned),9,set upon; set; ashore; having set,δαιτρός(1); Νέστωρ(1); οὖρος(1),γόνυ(1); χλαῖνα(1)
γυμνόω,8,37,"strike, strip, wound, smite",18,strip naked; strip; strip oneself; be stripped naked,τεῖχος(1),ῥάκος(1); μετάφρενον(1)
ἄντομαι,8,24,"shut close, beckon, opened, sing",9,"meet; opposed; stopped; meet with favour, greet",θώραξ(2); Φοῖβος(1); Ἀπόλλων(1),ἄργυρος(1); ἀλλήλων(1); πύλη(1)
ἐπικλώθω,8,26,"fulfil, spin, perform, accomplish",23,spin upon; spin to; assign; its destiny,θεός(4); δαίμων(1); Κρονίων(1),ὄλβος(2); βασιλεύς(1)
παμφαίνω,8,-1,(unassigned),5,shine; beam brightly; white-gleaming,ἧλος(1),
παραπείθω,8,-1,(unassigned),21,"win by persuasive arts, prevail upon; beguile, cajole; may cajole; to be beguiled",ἥρως(2); Ὀδυσσεύς(1); ἀνήρ(1),φρήν(2); μνηστήρ(1); Ὀδυσσεύς(1)
ὑβρίζω,8,10,"admit, riot, send away, dismiss",2,"wax wanton, run riot; neigh; bray and prance about; run riot, grow rank and luxuriant",,ἀνήρ(1)
ἀνατρέχω,8,2,"roar, old, haste, shout",5,run back; return; revert; recur,πέτρα(2); ἐγκέφαλος(1); σμῶδιξ(1),
μηνίω,8,-1,(unassigned),19,"cherish wrath, be wroth against; because of",Ἀχιλλεύς(3); ξένος(1); Ἀτρείδης(1),Ἀχαιός(1); Ἀγαμέμνων(1); ἱερός(1)
θάλλω,8,-1,(unassigned),3,"sprout, grow, thrive; luxuriant; grew; bloom",,φύλλον(1); ἀλοιφή(1)
μείρομαι,8,-1,(unassigned),16,receive as oneʼs portion; oneʼs due; take; as thy due,ἕκαστος(2); βασιλεύς(1),τιμή(4); ἥμισυς(1)
μεγαίρω,8,-1,(unassigned),9,regard as too great; grudge; as too great; complain,Ἀπόλλων(1),μνηστήρ(1); βίοτος(1); Δαναοί(1)
ἀπολύω,8,-1,(unassigned),3,"loose from; from; undo; set free, release, relieve from",,ἱμάς(1); κορώνη(1); θυγάτηρ(1)
ἀναρπάζω,8,-1,(unassigned),9,"snatch up; causing; to evaporate; snatch away, carry off",Ἑκάεργος(1); Ἀπόλλων(1),
δειδίσσομαι,8,14,"arm, stay, strip, angry",2,"frighten, alarm; to scare; away; fear",τάφρος(1),Ἀργεῖος(1); Ἕκτωρ(1); λαός(1)
ἀμφιπένομαι,8,15,"eat, devour, kindle, chase",13,"to be busied about, take charge of; tending; made; a meal of",παῖς(1); ἰατρός(1); Μυρμιδόνες(1); ἔγχελυς(1),πατήρ(1); δῶρον(1); Μενέλαος(1)
στεῦμαι,8,-1,(unassigned),14,"make as if one would.., promise; threaten that one will; declares; boasts",Ἕκτωρ(1),Τρώς(1); Ἀργεῖος(1); ναῦς(1); κόρυμβος(1)
ἐμπρήθω,8,-1,(unassigned),2,"blow up, inflate; to be bloated; swollen; burn",,ναῦς(6); πῦρ(2); ἄστυ(1)
ἱδρόω,8,12,"sweat, born, stir, rouse",19,"sweat, perspire; shall reek with sweat",τελαμών(1); ἵππος(1),πόνος(1)
δικάζω,8,-1,(unassigned),23,"Bis Acc; judge, sit in judgement; sit as a juror; give judgement on, decide, determine",παῖς(1); Ἀθήνη(1),ἀμφότερος(1); Τρώς(1); Δαναοί(1)
κακόω,8,-1,(unassigned),22,"maltreat, distress; afflict; the afflicted; to be in ill plight, be distressed",βία(1),γέρων(1); ἅλμη(1)
ὀχέω,8,31,"heavy, aim, disembark, cheat",9,"hold fast; endure, suffer; bear; continue, keep doing",Ἑρμῆς(1),νηπιάα(1); ἄτη(1); κῦμα(1); ὀιζύς(1)
ἀτέμβω,8,11,"pray, incur, need, born",9,"maltreat; afflict, perplex; to be bereft; cheated of",ἄμφω(1),ξένος(2); ἴσος(2); θυμός(1); νεότης(1)
οἴγω,8,24,"shut close, beckon, opened, sing",4,open; opened the door; opened; véga,,θύρα(7)
ἀναπίμπλημι,8,-1,(unassigned),1,fill up; accomplish; having filled up the full measure; fill full of,,οἶτος(3); πότμος(2); κῆδος(1); ἄλγος(1); κακός(1)
κηρύσσω,8,-1,(unassigned),21,"to be a herald, officiate as herald; to be an auctioneer; make proclamation as a herald; by voice of herald",κῆρυξ(1),Ἀχαιός(3); ἀγορά(1); λαός(1); πόλεμος(1)
ἅζομαι,8,9,"reproach, fear, awe, sense",1,"stand in awe of, esp. gods and oneʼs parents; respects; I fear; reverently, in holy fear",,υἱός(1); Ἀπόλλων(1); θεός(1); Ἄρης(1); κακός(1)
κτυπέω,8,22,"succour, face, hide cover, assembly",5,"crash; ring, resound; rang; stamp loudly",Ζεύς(3); ὕλη(1),
κυδαίνω,8,-1,(unassigned),1,give; do honour to; glorified; delight,,θυμός(1); πᾶς(1); Ἀχιλλεύς(1); θέτις(1); υἱός(1)
ἀναγιγνώσκω,8,-1,(unassigned),1,"know well, know certainly; perceive; know again, recognize; acknowledge, own",,σῆμα(3); γόνος(1); νόος(1)
νίσσομαι,8,-1,(unassigned),19,"go, come; coming down; ni-ns",Ἀχαιός(1); φορεύς(1),πόλεμος(2)
